 n_tracks  m_inv_GeV  N_e  N_mu  N_K  N_p
        2   2.434301    0     0    0    1
        2   2.430471    0     0    0    0
        2   2.538349    0     0    0    0
        2   2.493509    0     0    0    0
        2   2.476030    0     0    0    1
        2   2.595423    0     0    0    0
        2   2.523540    0     0    0    0
        2   2.455465    0     0    0    1
        2   2.600228    0     0    0    0
        2   2.400662    0     0    0    0
        2   2.406327    0     0    0    1
        2   2.451651    0     0    0    0
        2   2.408240    0     0    0    2
        2   2.467498    0     0    0    1
        2   2.469605    0     0    0    0
        2   2.503485    0     0    0    0
        2   2.504108    0     0    0    0
        2   2.440814    0     0    0    1
        2   2.386103    0     0    0    0
        2   2.440759    0     0    0    0
        2   2.484931    0     0    0    2
        2   2.535584    0     0    0    0
        2   2.430150    0     0    0    0
        2   2.486633    0     0    0    1
        2   2.516446    0     0    0    1
        2   2.426578    0     0    0    1
        2   2.551285    0     0    0    1
        2   2.484554    0     0    0    0
        2   2.427951    0     0    0    0
        2   2.480921    0     0    0    0
        2   2.460083    0     0    0    1
        2   2.433585    0     0    0    1
        2   2.313052    0     0    0    2
        2   2.478708    0     0    0    1
        2   2.484049    0     0    0    2
        2   2.587648    0     0    0    0
        2   2.503013    0     0    0    1
        2   2.350165    0     0    0    1
        2   2.411651    0     0    0    1
        2   2.520416    0     0    0    1
        2   2.563183    0     0    0    1
        2   2.574142    0     0    0    1
        2   2.447916    0     0    0    1
        2   2.373777    0     0    0    0
        2   2.489593    0     0    0    1
        2   2.484372    0     0    0    0
        2   2.485932    0     0    0    2
        2   2.449453    0     0    0    1
        2   2.432549    0     0    0    1
        2   2.620679    0     0    0    0
        2   2.521662    0     0    0    0
        2   2.403396    0     0    0    1
        2   2.488180    0     0    0    1
        2   2.463531    0     0    0    2
        2   2.476993    0     0    0    1
        2   2.453925    0     0    0    1
        2   2.491508    0     0    0    1
        2   2.404220    0     0    0    2
        2   2.559906    0     0    0    0
        2   2.512293    0     0    0    0
        2   2.466326    0     0    0    0
        2   2.443768    0     0    0    2
        2   2.543922    0     0    0    0
        2   2.513320    0     0    0    0
        2   2.447097    0     0    0    0
        2   2.502518    0     0    0    2
        2   2.431815    0     0    0    0
        2   2.385629    0     0    0    2
        2   2.419168    0     0    0    1
        2   2.468860    0     0    0    0
        2   2.478266    0     0    0    0
        2   2.500445    0     0    0    1
        2   2.422470    0     0    0    1
        2   2.543107    0     0    0    1
        2   2.737608    0     0    0    1
        2   2.466111    0     0    0    0
        2   2.552925    0     0    0    0
        2   2.493282    0     0    0    2
        2   2.412480    1     0    0    0
        2   2.402781    0     0    0    1
        2   2.444951    0     0    0    0
        2   2.451310    0     0    0    2
        2   2.467791    0     0    0    1
        2   2.449982    0     0    0    1
        2   2.520254    0     0    0    0
        2   2.514403    0     0    0    1
        2   2.477221    0     0    0    0
        2   2.524239    0     0    0    2
        2   2.442343    0     0    0    2
        2   2.421452    0     0    0    1
        2   2.443757    0     0    0    2
        2   2.445276    0     0    0    1
        2   2.458920    0     0    0    0
        2   2.471850    0     0    0    0
        2   2.444129    0     0    0    2
        2   2.387953    0     0    0    0
        2   2.446051    0     0    0    0
        2   2.395881    0     0    0    1
        2   2.416534    0     0    0    1
        2   2.563734    0     0    0    1
        2   2.459236    0     0    0    1
        2   2.477396    0     0    0    1
        2   2.537313    0     0    0    0
        2   2.453076    0     0    0    1
        2   2.479770    0     0    0    1
        2   2.479291    0     0    0    1
        2   2.446753    0     0    0    0
        2   2.567344    0     0    0    1
        2   2.531535    0     0    0    0
        2   2.462158    0     0    0    0
        2   2.533265    0     0    0    2
        2   2.401620    0     0    0    1
        2   2.410917    0     0    0    2
        2   2.521301    0     0    0    1
        2   2.477032    0     0    0    2
        2   2.495857    0     0    0    1
        2   2.347063    0     0    0    0
        2   2.567788    0     0    0    1
        2   2.578523    0     0    0    2
        2   2.455363    0     0    0    0
        2   2.388958    0     0    0    1
        2   2.592288    0     0    0    0
        2   2.491939    0     0    0    0
        2   2.584167    0     0    0    0
        2   2.497820    0     0    0    0
        2   2.539404    0     0    0    0
        2   2.397408    0     0    0    1
        2   2.430514    0     0    0    2
        2   2.522903    0     0    0    0
        2   2.472075    0     0    0    2
        2   2.489720    0     0    0    2
        2   2.539452    0     0    0    1
        2   2.445523    0     0    0    2
        2   2.502841    0     0    0    1
        2   2.484681    0     0    0    1
        2   2.419765    0     0    0    1
        2   2.463962    0     0    0    0
        2   2.441263    0     0    0    2
        2   2.410704    0     0    0    0
